,BSS,DySS,DSM,RSM,R1FI,R,C,DySS > BSS,DySS > DSM,DySS > RSM,DySS > R1FI,R1FI > DSM,DySS EQ,Perfect EQ
0,12.0,12.0,12.0,12.0,12.0,"[[[0.0, 4.0], [2.0, 0.0]]]","[[[1.0, 3.0], [6.0, 2.0]]]",False,False,False,False,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 0.13333333333333333), ('x1_1,0', 0.8666666666666667), ('x1_0,1', 1.0), ('x1_1,1', 0.0), ('x2_0,0-0', 0.6666666666666667), ('x2_1,0-0', 0.33333333333333326), ('x2_0,1-0', 0.026666666666666665), ('x2_1,1-0', 0.9733333333333334), ('x2_0,0-1', 0.2), ('x2_1,0-1', 0.8), ('x2_0,1-1', 1.0), ('x2_1,1-1', 0.0), ('y0_0-0-0', -0.0), ('y0_1-0-0', -0.0), ('y0_0-1-0', -0.0), ('y0_1-1-0', -0.0), ('y0_0-0-1', -0.0), ('y0_1-0-1', -0.0), ('y0_0-1-1', -0.0), ('y0_1-1-1', 1.0), ('a0', 9.0)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,13.125,13.125,13.125,13.125,13.125,"[[[1.0, 4.0], [0.0, 5.0]]]","[[[3.0, 6.0], [6.0, 1.0]]]",False,False,False,False,False,"[('x0_0,', 0.625), ('x0_1,', 0.375), ('x1_0,0', 0.625), ('x1_1,0', 0.375), ('x1_0,1', 0.625), ('x1_1,1', 0.375), ('x2_0,0-0', 0.625), ('x2_1,0-0', 0.375), ('x2_0,1-0', 0.625), ('x2_1,1-0', 0.375), ('x2_0,0-1', 0.625), ('x2_1,0-1', 0.375), ('x2_0,1-1', 0.625), ('x2_1,1-1', 0.375), ('y0_0-0-0', 0.0), ('y0_1-0-0', 0.0), ('y0_0-1-0', 0.0), ('y0_1-1-0', 0.0), ('y0_0-0-1', 0.0), ('y0_1-0-1', 0.0), ('y0_0-1-1', 0.0), ('y0_1-1-1', 1.0), ('a0', 12.375)]","[[('x_0', 0.625), ('x_1', 0.375)]]"
0,18.0,19.0,18.0,18.0,18.0,"[[[3.0, 4.0], [6.0, 7.0]]]","[[[5.0, 1.0], [7.0, 3.0]]]",True,True,True,True,False,"[('x0_0,', 0.0), ('x0_1,', 1.0), ('x1_0,0', 1.0), ('x1_1,0', 0.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('x2_0,0-0', 1.0), ('x2_1,0-0', 0.0), ('x2_0,1-0', 0.0), ('x2_1,1-0', 1.0), ('x2_0,0-1', 0.0), ('x2_1,0-1', 1.0), ('x2_0,1-1', 0.0), ('x2_1,1-1', 1.0), ('y0_0-0-0', 0.0), ('y0_1-0-0', 0.0), ('y0_0-1-0', 0.0), ('y0_1-1-0', 0.0), ('y0_0-0-1', 1.0), ('y0_1-0-1', 0.0), ('y0_0-1-1', 0.0), ('y0_1-1-1', 0.0), ('a0', 17.0)]","[[('x_0', 0.0), ('x_1', 1.0)]]"
0,21.0,21.0,21.0,21.0,21.0,"[[[7.0, 1.0], [2.0, 5.0]]]","[[[6.0, 5.0], [6.0, 2.0]]]",False,False,False,False,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 1.0), ('x1_1,0', 0.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('x2_0,0-0', 1.0), ('x2_1,0-0', 0.0), ('x2_0,1-0', 0.0), ('x2_1,1-0', 1.0), ('x2_0,0-1', 0.0), ('x2_1,0-1', 1.0), ('x2_0,1-1', 0.0), ('x2_1,1-1', 1.0), ('y0_0-0-0', 1.0), ('y0_1-0-0', 0.0), ('y0_0-1-0', 0.0), ('y0_1-1-0', 0.0), ('y0_0-0-1', 0.0), ('y0_1-0-1', 0.0), ('y0_0-1-1', 0.0), ('y0_1-1-1', 0.0), ('a0', 18.0)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,18.0,18.0,18.0,17.999999985132398,18.0,"[[[6.0, 2.0], [6.0, 2.0]]]","[[[3.0, 0.0], [1.0, 5.0]]]",False,False,True,False,False,"[('x0_0,', 0.862973760932945), ('x0_1,', 0.13702623906705502), ('x1_0,0', 0.5714285714285717), ('x1_1,0', 0.42857142857142827), ('x1_0,1', 0.16326530612244877), ('x1_1,1', 0.8367346938775513), ('x2_0,0-0', 0.5714285714285716), ('x2_1,0-0', 0.4285714285714284), ('x2_0,1-0', 0.5714285714285712), ('x2_1,1-0', 0.4285714285714288), ('x2_0,0-1', 0.0), ('x2_1,0-1', 1.0), ('x2_0,1-1', 0.5714285714285712), ('x2_1,1-1', 0.4285714285714288), ('y0_0-0-0', 1.0), ('y0_1-0-0', 0.0), ('y0_0-1-0', 0.0), ('y0_1-1-0', 0.0), ('y0_0-0-1', 0.0), ('y0_1-0-1', 0.0), ('y0_0-1-1', 0.0), ('y0_1-1-1', 0.0), ('a0', 7.011661807580175)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,15.0,15.0,15.0,15.0,15.0,"[[[3.0, 1.0], [6.0, 5.0]]]","[[[1.0, 4.0], [1.0, 5.0]]]",False,False,False,False,False,"[('x0_0,', 0.0), ('x0_1,', 1.0), ('x1_0,0', 0.0), ('x1_1,0', 1.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('x2_0,0-0', 0.0), ('x2_1,0-0', 1.0), ('x2_0,1-0', 0.0), ('x2_1,1-0', 1.0), ('x2_0,0-1', 0.0), ('x2_1,0-1', 1.0), ('x2_0,1-1', 0.0), ('x2_1,1-1', 1.0), ('y0_0-0-0', 0.0), ('y0_1-0-0', 0.0), ('y0_0-1-0', 0.0), ('y0_1-1-0', 0.0), ('y0_0-0-1', 0.0), ('y0_1-0-1', 0.0), ('y0_0-1-1', 0.0), ('y0_1-1-1', 1.0), ('a0', 15.0)]","[[('x_0', 0.0), ('x_1', 1.0)]]"
0,12.000000000000005,16.999999999999996,12.0,11.999999982790387,12.0,"[[[7.0, 3.0], [1.0, 3.0]]]","[[[2.0, 4.0], [2.0, 0.0]]]",True,True,True,True,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 0.9999999999999994), ('x1_1,0', 5.551115123125783e-16), ('x1_0,1', 2.220446049250313e-16), ('x1_1,1', 0.9999999999999998), ('x2_0,0-0', 1.0), ('x2_1,0-0', 0.0), ('x2_0,1-0', 0.0), ('x2_1,1-0', 1.0), ('x2_0,0-1', 2.220446049250313e-16), ('x2_1,0-1', 0.9999999999999998), ('x2_0,1-1', 0.0), ('x2_1,1-1', 1.0), ('y0_0-0-0', -0.0), ('y0_1-0-0', 1.0), ('y0_0-1-0', -0.0), ('y0_1-1-0', -0.0), ('y0_0-0-1', 0.0), ('y0_1-0-1', -0.0), ('y0_0-1-1', -0.0), ('y0_1-1-1', -0.0), ('a0', 8.0)]","[[('x_0', 0.5), ('x_1', 0.5)]]"
0,15.0,14.999999999999998,15.0,15.0,15.0,"[[[1.0, 5.0], [3.0, 5.0]]]","[[[2.0, 0.0], [5.0, 7.0]]]",False,False,False,False,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 1.0), ('x1_1,0', 0.0), ('x1_0,1', 0.6428571428571428), ('x1_1,1', 0.35714285714285715), ('x2_0,0-0', 1.0), ('x2_1,0-0', 0.0), ('x2_0,1-0', 1.0), ('x2_1,1-0', 0.0), ('x2_0,0-1', 1.0), ('x2_1,0-1', 0.0), ('x2_0,1-1', 0.5), ('x2_1,1-1', 0.5), ('y0_0-0-0', -0.0), ('y0_1-0-0', -0.0), ('y0_0-1-0', -0.0), ('y0_1-1-0', -0.0), ('y0_0-0-1', -0.0), ('y0_1-0-1', -0.0), ('y0_0-1-1', -0.0), ('y0_1-1-1', 1.0), ('a0', 6.0)]","[[('x_0', 0.0), ('x_1', 1.0)]]"
0,15.0,15.0,15.0,14.9999985138042,15.0,"[[[2.0, 3.0], [2.0, 5.0]]]","[[[5.0, 0.0], [2.0, 2.0]]]",False,False,True,False,False,"[('x0_0,', 0.0), ('x0_1,', 1.0), ('x1_0,0', 0.0), ('x1_1,0', 1.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('x2_0,0-0', 0.0), ('x2_1,0-0', 1.0), ('x2_0,1-0', 0.0), ('x2_1,1-0', 1.0), ('x2_0,0-1', 0.0), ('x2_1,0-1', 1.0), ('x2_0,1-1', 0.0), ('x2_1,1-1', 1.0), ('y0_0-0-0', -0.0), ('y0_1-0-0', -0.0), ('y0_0-1-0', -0.0), ('y0_1-1-0', -0.0), ('y0_0-0-1', -0.0), ('y0_1-0-1', -0.0), ('y0_0-1-1', -0.0), ('y0_1-1-1', 1.0), ('a0', 6.0)]","[[('x_0', 0.0), ('x_1', 1.0)]]"
0,8.999999999999998,9.333333333333332,9.0,8.999999975197657,9.0,"[[[0.0, 1.0], [6.0, 3.0]]]","[[[6.0, 4.0], [1.0, 5.0]]]",True,True,True,True,False,"[('x0_0,', 0.44444444444444464), ('x0_1,', 0.5555555555555554), ('x1_0,0', 0.0), ('x1_1,0', 1.0), ('x1_0,1', 0.666666666666667), ('x1_1,1', 0.3333333333333331), ('x2_0,0-0', 1.0), ('x2_1,0-0', 0.0), ('x2_0,1-0', 0.0), ('x2_1,1-0', 1.0), ('x2_0,0-1', 0.6666666666666666), ('x2_1,0-1', 0.33333333333333337), ('x2_0,1-1', 0.666666666666667), ('x2_1,1-1', 0.33333333333333304), ('y0_0-0-0', 0.0), ('y0_1-0-0', 0.0), ('y0_0-1-0', 0.0), ('y0_1-1-0', 1.0), ('y0_0-0-1', 0.0), ('y0_1-0-1', 0.0), ('y0_0-1-1', 0.0), ('y0_1-1-1', 0.0), ('a0', 13.222222222222223)]","[[('x_0', 0.0), ('x_1', 1.0)]]"
