,Bayesian_contract,Dynamic_contract,Deterministic_menu,Randomized_menu,r,P,c,DC > BC,DC > DM,DC > RM,Perfect EQ
0,7.819837279064278,8.678639605497231,12.069578419817617,12.108489095511684,[4 9],"[[[0.73976646 0.26023354]
  [0.24637659 0.75362341]]

 [[0.33926986 0.66073014]
  [0.44631786 0.55368214]]]","[[2.65058386 3.88405854]
 [1.46073014 1.35368214]]",True,False,False,"[('x0,,0', 6.286556817704006), ('x0,,1', 0.0), ('x1,0,0', 0.0), ('x1,0,1', 2.500000000000149), ('x1,1,0', 0.0), ('x1,1,1', 0.0), ('y0_0_0', 1.0), ('y0_0_1', 0.0), ('y0_1_0', 0.0), ('y0_1_1', 1.0), ('y1_0_0', 1.0), ('y1_0_1', 0.0), ('y1_1_0', 1.0), ('y1_1_1', 0.0), ('z0_1,0', 1.0), ('z0_1,1', 0.0), ('z0_2,0-0', 0.0), ('z0_2,1-0', 1.0), ('z0_2,0-1', 0.0), ('z0_2,1-1', 0.0), ('z1_1,0', 1.0), ('z1_1,1', 0.0), ('z1_2,0-0', 1.0), ('z1_2,1-0', 0.0), ('z1_2,0-1', 0.0), ('z1_2,1-1', 0.0), ('a0', 0.0), ('a1', 0.8632043138375116)]"
0,9.704354728052333,9.704354728052332,12.704354728052323,12.704354728052278,[6 7],"[[[0.45792622 0.54207378]
  [0.47256011 0.52743989]]

 [[0.60293414 0.39706586]
  [0.90325521 0.09674479]]]","[[1.63551845 1.63185997]
 [1.59926646 1.5241862 ]]",False,False,False,"[('x0,,0', 2.9999999999996696), ('x0,,1', 0.0), ('x1,0,0', 0.0), ('x1,0,1', 3.5000000000003526), ('x1,1,0', 0.0), ('x1,1,1', 0.0), ('y0_0_0', 1.0), ('y0_0_1', 0.0), ('y0_1_0', 1.0), ('y0_1_1', 0.0), ('y1_0_0', 1.0), ('y1_0_1', 0.0), ('y1_1_0', 1.0), ('y1_1_1', 0.0), ('z0_1,0', 1.0), ('z0_1,1', 0.0), ('z0_2,0-0', 1.0), ('z0_2,1-0', 0.0), ('z0_2,0-1', 0.0), ('z0_2,1-1', 0.0), ('z1_1,0', 1.0), ('z1_1,1', 0.0), ('z1_2,0-0', 1.0), ('z1_2,1-0', 0.0), ('z1_2,0-1', 0.0), ('z1_2,1-1', 0.0), ('a0', 0.0), ('a1', 0.0)]"
0,11.032530773141222,11.120305551815973,15.55580263121357,15.55580263121357,[6 9],"[[[0.35201726 0.64798274]
  [0.31904975 0.68095025]]

 [[0.44911731 0.55088269]
  [0.4627152  0.5372848 ]]]","[[1.98598706 2.01071269]
 [2.55088269 2.5372848 ]]",True,False,False,"[('x0,,0', 8.33053234397834), ('x0,,1', 0.0), ('x1,0,0', 0.0), ('x1,0,1', 0.0), ('x1,1,0', 0.6826208703905778), ('x1,1,1', 1.6826208703850258), ('y0_0_0', -0.0), ('y0_0_1', 1.0), ('y0_1_0', 0.0), ('y0_1_1', 1.0), ('y1_0_0', -0.0), ('y1_0_1', 1.0), ('y1_1_0', 1.0), ('y1_1_1', 0.0), ('z0_1,0', -0.0), ('z0_1,1', 1.0), ('z0_2,0-0', 0.0), ('z0_2,1-0', 0.0), ('z0_2,0-1', 0.0), ('z0_2,1-1', 1.0), ('z1_1,0', -0.0), ('z1_1,1', 1.0), ('z1_2,0-0', 0.0), ('z1_2,1-0', 0.0), ('z1_2,0-1', 1.0), ('z1_2,1-1', 0.0), ('a0', 0.0), ('a1', 0.0)]"
0,4.828820002988019,4.828820002988018,7.574383736942063,7.574383736942063,[1 7],"[[[0.27235688 0.72764312]
  [0.48520272 0.51479728]]

 [[0.58573333 0.41426667]
  [0.45136978 0.54863022]]]","[[2.68292935 2.04439185]
 [1.74280002 2.14589066]]",False,False,False,"[('x0,,0', 0.0), ('x0,,1', 4.3743000906480844), ('x1,0,0', 0.0), ('x1,0,1', 2.9999999999997797), ('x1,1,0', 0.24601744093992672), ('x1,1,1', 3.2460174409391476), ('y0_0_0', 1.0), ('y0_0_1', 0.0), ('y0_1_0', 1.0), ('y0_1_1', 0.0), ('y1_0_0', -0.0), ('y1_0_1', 1.0), ('y1_1_0', -0.0), ('y1_1_1', 1.0), ('z0_1,0', 1.0), ('z0_1,1', 0.0), ('z0_2,0-0', 1.0), ('z0_2,1-0', 0.0), ('z0_2,0-1', 0.0), ('z0_2,1-1', 0.0), ('z1_1,0', -0.0), ('z1_1,1', 1.0), ('z1_2,0-0', 0.0), ('z1_2,1-0', 0.0), ('z1_2,0-1', 0.0), ('z1_2,1-1', 1.0), ('a0', 0.0), ('a1', 0.0)]"
0,7.853548351944687,8.01967452992412,9.29873622486013,9.29873622486013,[1 9],"[[[0.50437956 0.49562044]
  [0.36692855 0.63307145]]

 [[0.58327841 0.41672159]
  [0.41053113 0.58946887]]]","[[0.9929927  1.21291432]
 [1.44459091 1.90525032]]",True,False,False,"[('x0,,0', 4.953349511792777), ('x0,,1', 0.0), ('x1,0,0', 0.0), ('x1,0,1', 0.0), ('x1,1,0', 0.20507947022453746), ('x1,1,1', 2.871746136890724), ('y0_0_0', 0.0), ('y0_0_1', 1.0), ('y0_1_0', 0.0), ('y0_1_1', 1.0), ('y1_0_0', -0.0), ('y1_0_1', 1.0), ('y1_1_0', 0.0), ('y1_1_1', 1.0), ('z0_1,0', 0.0), ('z0_1,1', 1.0), ('z0_2,0-0', 0.0), ('z0_2,1-0', 0.0), ('z0_2,0-1', 0.0), ('z0_2,1-1', 1.0), ('z1_1,0', -0.0), ('z1_1,1', 1.0), ('z1_2,0-0', 0.0), ('z1_2,1-0', 0.0), ('z1_2,0-1', 0.0), ('z1_2,1-1', 1.0), ('a0', 1.2849667318278593), ('a1', 0.0)]"
0,5.541844081570883,5.556235766899738,7.396677555484507,7.396677555484507,[3 5],"[[[0.89330547 0.10669453]
  [0.43525487 0.56474513]]

 [[0.51723696 0.48276304]
  [0.52499928 0.47500072]]]","[[1.07112969 1.37649675]
 [0.99138152 0.98750036]]",True,False,False,"[('x0,,0', 0.0), ('x0,,1', 4.208087216943237), ('x1,0,0', 0.05167713587477812), ('x1,0,1', 0.5516771358659214), ('x1,1,0', 0.0), ('x1,1,1', 0.6666666666667548), ('y0_0_0', -0.0), ('y0_0_1', 1.0), ('y0_1_0', 0.0), ('y0_1_1', 1.0), ('y1_0_0', 1.0), ('y1_0_1', 0.0), ('y1_1_0', 1.0), ('y1_1_1', 0.0), ('z0_1,0', -0.0), ('z0_1,1', 1.0), ('z0_2,0-0', 0.0), ('z0_2,1-0', 0.0), ('z0_2,0-1', 0.0), ('z0_2,1-1', 1.0), ('z1_1,0', 1.0), ('z1_1,1', 0.0), ('z1_2,0-0', 1.0), ('z1_2,1-0', 0.0), ('z1_2,0-1', 0.0), ('z1_2,1-1', 0.0), ('a0', 0.0), ('a1', 0.34180459022590653)]"
0,7.2699543208690045,7.313032379770851,8.976594097959795,8.976594097959795,[2 8],"[[[0.69196506 0.30803494]
  [0.42164133 0.57835867]]

 [[0.54156823 0.45843177]
  [0.42753675 0.57246325]]]","[[0.76964193 1.0940304 ]
 [1.58353021 1.81159316]]",True,False,False,"[('x0,,0', 0.0), ('x0,,1', 4.16775214901618), ('x1,0,0', 0.33956687847452266), ('x1,0,1', 2.3395668784736863), ('x1,1,0', 0.0), ('x1,1,1', 1.2000000000003186), ('y0_0_0', -0.0), ('y0_0_1', 1.0), ('y0_1_0', 0.0), ('y0_1_1', 1.0), ('y1_0_0', 1.0), ('y1_0_1', 0.0), ('y1_1_0', 0.0), ('y1_1_1', 1.0), ('z0_1,0', -0.0), ('z0_1,1', 1.0), ('z0_2,0-0', 0.0), ('z0_2,1-0', 0.0), ('z0_2,0-1', 0.0), ('z0_2,1-1', 1.0), ('z1_1,0', 1.0), ('z1_1,1', 0.0), ('z1_2,0-0', 0.0), ('z1_2,1-0', 1.0), ('z1_2,0-1', 0.0), ('z1_2,1-1', 0.0), ('a0', 0.9164251767519558), ('a1', 0.0)]"
0,9.287681004688611,9.28768100468861,13.605859013556442,13.605859013556442,[6 9],"[[[0.17185665 0.82814335]
  [0.75484007 0.24515993]]

 [[0.75757068 0.24242932]
  [0.84066802 0.15933198]]]","[[4.24221503 3.3677399 ]
 [1.68182199 1.61949899]]",False,False,False,"[('x0,,0', 0.0), ('x0,,1', 7.242809279887872), ('x1,0,0', 1.2441306604532623), ('x1,0,1', 2.7441306604533775), ('x1,1,0', 0.0), ('x1,1,1', 0.0), ('y0_0_0', 1.0), ('y0_0_1', 0.0), ('y0_1_0', 1.0), ('y0_1_1', 0.0), ('y1_0_0', 1.0), ('y1_0_1', 0.0), ('y1_1_0', 1.0), ('y1_1_1', 0.0), ('z0_1,0', 1.0), ('z0_1,1', 0.0), ('z0_2,0-0', 1.0), ('z0_2,1-0', 0.0), ('z0_2,0-1', 0.0), ('z0_2,1-1', 0.0), ('z1_1,0', 1.0), ('z1_1,1', 0.0), ('z1_2,0-0', 1.0), ('z1_2,1-0', 0.0), ('z1_2,0-1', 0.0), ('z1_2,1-1', 0.0), ('a0', 0.0), ('a1', 0.0)]"
0,6.560757125933187,6.560757125933179,8.560757125933092,8.560757125933092,[4 5],"[[[0.41915167 0.58084833]
  [0.63329402 0.36670598]]

 [[0.93438761 0.06561239]
  [0.83317217 0.16682783]]]","[[1.14521208 1.0916765 ]
 [1.0164031  1.04170696]]",False,False,False,"[('x0,,0', 2.0000000000000124), ('x0,,1', 2.2500000000002713), ('x1,0,0', 0.0), ('x1,0,1', 0.24999999999955608), ('x1,1,0', 0.0), ('x1,1,1', 0.2499999999991474), ('y0_0_0', 1.0), ('y0_0_1', 0.0), ('y0_1_0', 1.0), ('y0_1_1', 0.0), ('y1_0_0', -0.0), ('y1_0_1', 1.0), ('y1_1_0', -0.0), ('y1_1_1', 1.0), ('z0_1,0', 1.0), ('z0_1,1', 0.0), ('z0_2,0-0', 1.0), ('z0_2,1-0', 0.0), ('z0_2,0-1', 0.0), ('z0_2,1-1', 0.0), ('z1_1,0', -0.0), ('z1_1,1', 1.0), ('z1_2,0-0', 0.0), ('z1_2,1-0', 0.0), ('z1_2,0-1', 0.0), ('z1_2,1-1', 1.0), ('a0', 0.0), ('a1', 0.0)]"
0,5.912335920071586,6.694907922814253,10.806046569520873,10.845583620482945,[5 6],"[[[0.11252656 0.88747344]
  [0.55838694 0.44161306]]

 [[0.46014874 0.53985126]
  [0.67840359 0.32159641]]]","[[1.96249115 1.81387102]
 [2.76992563 2.66079821]]",True,False,False,"[('x0,,0', 6.496824638069383), ('x0,,1', 0.0), ('x1,0,0', 1.5508902375213411), ('x1,0,1', 3.4022433796688247), ('x1,1,0', 0.0), ('x1,1,1', 0.0), ('y0_0_0', 1.0), ('y0_0_1', 0.0), ('y0_1_0', 1.0), ('y0_1_1', 0.0), ('y1_0_0', 1.0), ('y1_0_1', 0.0), ('y1_1_0', 1.0), ('y1_1_1', 0.0), ('z0_1,0', 1.0), ('z0_1,1', 0.0), ('z0_2,0-0', 1.0), ('z0_2,1-0', 0.0), ('z0_2,0-1', 0.0), ('z0_2,1-1', 0.0), ('z1_1,0', 1.0), ('z1_1,1', 0.0), ('z1_2,0-0', 1.0), ('z1_2,1-0', 0.0), ('z1_2,0-1', 0.0), ('z1_2,1-1', 0.0), ('a0', 0.0), ('a1', 0.0)]"
0,7.336716312758004,8.04322333552816,12.406862457291627,12.406862457291627,[5 9],"[[[0.84821201 0.15178799]
  [0.69623549 0.30376451]]

 [[0.55007237 0.44992763]
  [0.39911463 0.60088537]]]","[[2.80357598 3.10752901]
 [2.26657017 2.46784716]]",True,False,False,"[('x0,,0', 6.6105547602651935), ('x0,,1', 0.0), ('x1,0,0', 0.0), ('x1,0,1', 0.0), ('x1,1,0', 0.9124736055200581), ('x1,1,1', 3.21715878800877), ('y0_0_0', -0.0), ('y0_0_1', 1.0), ('y0_1_0', 0.0), ('y0_1_1', 1.0), ('y1_0_0', -0.0), ('y1_0_1', 1.0), ('y1_1_0', 0.0), ('y1_1_1', 1.0), ('z0_1,0', -0.0), ('z0_1,1', 1.0), ('z0_2,0-0', 0.0), ('z0_2,1-0', 0.0), ('z0_2,0-1', 0.0), ('z0_2,1-1', 1.0), ('z1_1,0', -0.0), ('z1_1,1', 1.0), ('z1_2,0-0', 0.0), ('z1_2,1-0', 0.0), ('z1_2,0-1', 0.0), ('z1_2,1-1', 1.0), ('a0', 0.0), ('a1', 0.0)]"
0,8.745946846599015,8.745946846599015,9.839921243245701,9.986485985198613,[2 8],"[[[0.68887561 0.31112439]
  [0.42972991 0.57027009]]

 [[0.44924427 0.55075573]
  [0.11028977 0.88971023]]]","[[0.77334927 1.0843241 ]
 [1.76817813 2.44608712]]",False,False,False,"[('x0,,0', 0.0), ('x0,,1', 0.0), ('x1,0,0', 0.0), ('x1,0,1', 0.0), ('x1,1,0', 0.0), ('x1,1,1', 5.498615273843905), ('y0_0_0', 0.0), ('y0_0_1', 1.0), ('y0_1_0', 0.0), ('y0_1_1', 1.0), ('y1_0_0', -0.0), ('y1_0_1', 1.0), ('y1_1_0', 0.0), ('y1_1_1', 1.0), ('z0_1,0', 0.0), ('z0_1,1', 1.0), ('z0_2,0-0', 0.0), ('z0_2,1-0', 0.0), ('z0_2,0-1', 0.0), ('z0_2,1-1', 1.0), ('z1_1,0', -0.0), ('z1_1,1', 1.0), ('z1_2,0-0', 0.0), ('z1_2,1-0', 0.0), ('z1_2,0-1', 0.0), ('z1_2,1-1', 1.0), ('a0', 0.9670475963471898), ('a1', 0.0)]"
0,6.593695788462,6.802772658198463,7.258399268448631,7.258399268448632,[1 7],"[[[0.34075877 0.65924123]
  [0.766444   0.233556  ]]

 [[0.57550441 0.42449559]
  [0.34464141 0.65535859]]]","[[1.65181579 0.80044533]
 [0.70939471 0.98643031]]",True,False,False,"[('x0,,0', 0.0), ('x0,,1', 3.0112636124455987), ('x1,0,0', 0.0), ('x1,0,1', 2.000000000000076), ('x1,1,0', 0.10613313105234531), ('x1,1,1', 1.3061331310524629), ('y0_0_0', 1.0), ('y0_0_1', 0.0), ('y0_1_0', 1.0), ('y0_1_1', 0.0), ('y1_0_0', -0.0), ('y1_0_1', 1.0), ('y1_1_0', -0.0), ('y1_1_1', 1.0), ('z0_1,0', 1.0), ('z0_1,1', 0.0), ('z0_2,0-0', 1.0), ('z0_2,1-0', 0.0), ('z0_2,0-1', 0.0), ('z0_2,1-1', 0.0), ('z1_1,0', -0.0), ('z1_1,1', 1.0), ('z1_2,0-0', 0.0), ('z1_2,1-0', 0.0), ('z1_2,0-1', 0.0), ('z1_2,1-1', 1.0), ('a0', 0.0), ('a1', 0.8931602948842092)]"
0,8.462227706052037,8.607577388342014,16.632588905263532,16.632588905263532,[8 9],"[[[0.52585484 0.47414516]
  [0.69390941 0.30609059]]

 [[0.54968974 0.45031026]
  [0.68340902 0.31659098]]]","[[1.69482903 1.66121812]
 [4.22515513 4.15829549]]",True,False,False,"[('x0,,0', 11.696374036343718), ('x0,,1', 0.0), ('x1,0,0', 1.7957782743377617), ('x1,0,1', 2.295778274337526), ('x1,1,0', 0.0), ('x1,1,1', 0.0), ('y0_0_0', 1.0), ('y0_0_1', 0.0), ('y0_1_0', 1.0), ('y0_1_1', 0.0), ('y1_0_0', 1.0), ('y1_0_1', 0.0), ('y1_1_0', 1.0), ('y1_1_1', 0.0), ('z0_1,0', 1.0), ('z0_1,1', 0.0), ('z0_2,0-0', 1.0), ('z0_2,1-0', 0.0), ('z0_2,0-1', 0.0), ('z0_2,1-1', 0.0), ('z1_1,0', 1.0), ('z1_1,1', 0.0), ('z1_2,0-0', 1.0), ('z1_2,1-0', 0.0), ('z1_2,0-1', 0.0), ('z1_2,1-1', 0.0), ('a0', 4.79378772927406), ('a1', 0.0)]"
