,BSS,DySS,DSM,RSM,R1FI,R,C,DySS > BSS,DySS > DSM,DySS > RSM,DySS > R1FI,R1FI > DSM,DySS EQ,Perfect EQ
0,10.0,10.0,10.0,10.0,10.0,"[[[5.0, 4.0], [5.0, 1.0]]]","[[[3.0, 4.0], [5.0, 5.0]]]",False,False,False,False,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 0.0), ('x1_1,0', 1.0), ('x1_0,1', 1.0), ('x1_1,1', 0.0), ('y0_0-0', 1.0), ('y0_1-0', -0.0), ('y0_0-1', -0.0), ('y0_1-1', -0.0), ('a0', 8.0)]","[[('x_0', 0.0), ('x_1', 1.0)]]"
0,8.0,8.0,8.0,8.0,8.0,"[[[4.0, 2.0], [3.0, 6.0]]]","[[[7.0, 2.0], [7.0, 0.0]]]",False,False,False,False,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 1.0), ('x1_1,0', 0.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', 1.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 0.0), ('a0', 14.0)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,12.0,12.0,12.0,12.0,12.0,"[[[6.0, 7.0], [6.0, 6.0]]]","[[[7.0, 3.0], [4.0, 1.0]]]",False,False,False,False,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 1.0), ('x1_1,0', 0.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', 1.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 0.0), ('a0', 14.0)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,2.0,2.510204081632653,2.0,1.9999999916936335,2.0,"[[[1.0, 0.0], [1.0, 2.0]]]","[[[1.0, 2.0], [6.0, 0.0]]]",True,True,True,True,False,"[('x0_0,', 0.24489795918367352), ('x0_1,', 0.7551020408163265), ('x1_0,0', 0.857142857142857), ('x1_1,0', 0.14285714285714302), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', 0.0), ('y0_1-0', 0.0), ('y0_0-1', 1.0), ('y0_1-1', 0.0), ('a0', 6.4897959183673475)]","[[('x_0', 0.0), ('x_1', 1.0)]]"
0,6.0,6.0,6.0,6.0,6.0,"[[[3.0, 0.0], [1.0, 1.0]]]","[[[5.0, 2.0], [6.0, 4.0]]]",False,False,False,False,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 1.0), ('x1_1,0', 0.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', 1.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 0.0), ('a0', 10.0)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,10.0,10.0,10.0,9.999999339705237,10.0,"[[[5.0, 7.0], [2.0, 5.0]]]","[[[4.0, 1.0], [4.0, 4.0]]]",False,False,True,False,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 1.0), ('x1_1,0', 0.0), ('x1_0,1', 1.0), ('x1_1,1', 0.0), ('y0_0-0', 1.0), ('y0_1-0', -0.0), ('y0_0-1', -0.0), ('y0_1-1', -0.0), ('a0', 8.0)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,12.0,12.0,12.0,12.0,12.0,"[[[6.0, 4.0], [0.0, 0.0]]]","[[[5.0, 0.0], [3.0, 4.0]]]",False,False,False,False,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 1.0), ('x1_1,0', 0.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', 1.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 0.0), ('a0', 10.0)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,8.0,8.0,8.0,8.0,8.0,"[[[6.0, 0.0], [2.0, 2.0]]]","[[[2.0, 7.0], [7.0, 2.0]]]",False,False,False,False,False,"[('x0_0,', 0.5), ('x0_1,', 0.4999999999999999), ('x1_0,0', 0.5), ('x1_1,0', 0.5), ('x1_0,1', 0.5), ('x1_1,1', 0.5), ('y0_0-0', 1.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 0.0), ('a0', 9.0)]","[[('x_0', 0.5), ('x_1', 0.5)]]"
0,8.0,8.0,8.0,8.0,8.0,"[[[2.0, 5.0], [4.0, 6.0]]]","[[[5.0, 4.0], [5.0, 1.0]]]",False,False,False,False,False,"[('x0_0,', 0.0), ('x0_1,', 1.0), ('x1_0,0', 0.0), ('x1_1,0', 1.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', 1.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 0.0), ('a0', 10.0)]","[[('x_0', 0.0), ('x_1', 1.0)]]"
0,14.0,14.0,14.0,14.0,14.0,"[[[6.0, 0.0], [2.0, 7.0]]]","[[[7.0, 6.0], [1.0, 6.0]]]",False,False,False,False,False,"[('x0_0,', 0.0), ('x0_1,', 1.0), ('x1_0,0', 0.0), ('x1_1,0', 1.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', 0.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 1.0), ('a0', 12.0)]","[[('x_0', 0.0), ('x_1', 1.0)]]"
