,BSS,DySS,DSM,RSM,R1FI,R,C,DySS > BSS,DySS > DSM,DySS > RSM,DySS > R1FI,R1FI > DSM
0,0.7066169961966662,0.7066169961966662,0.7066169961966662,0.7066169937832706,0.7066169961966662,"[[[0.6588649749755859, 0.1761336624622345], [0.41077300906181335, 0.06882509589195251]]]","[[[0.6886700391769409, 0.8060163855552673], [0.9471241235733032, 0.8895322680473328]]]",False,False,True,False,False
0,1.3949974235396365,1.433305015116715,1.3949974235396365,1.3949974177924245,1.3949974235396365,"[[[0.8145626187324524, 0.10532445460557938], [0.7045159339904785, 0.8426448106765747]]]","[[[0.33300694823265076, 0.9254741072654724], [0.832629382610321, 0.01857563853263855]]]",True,True,True,True,False
0,2.105859221856699,2.216989802097444,2.105859221856699,2.1058592119097073,2.105859221856699,"[[[0.6433659195899963, 0.10439609736204147], [0.7967801094055176, 0.9716208577156067]]]","[[[0.0287332721054554, 0.375742107629776], [0.2723144292831421, 0.636499285697937]]]",True,True,True,True,False
0,2.9468406024080944,3.076642667043868,2.9468406024080944,2.946840593809762,2.9468406024080944,"[[[0.5269126892089844, 0.30450689792633057], [0.825998842716217, 0.43531563878059387]]]","[[[0.8515603542327881, 0.35371947288513184], [0.39311420917510986, 0.5930308699607849]]]",True,True,True,True,False
0,3.4654467386616883,3.6238077288902675,3.4654467386616883,3.4654467263789597,3.4654467386616883,"[[[0.26746493577957153, 0.2995184659957886], [0.4686738848686218, 0.2881776988506317]]]","[[[0.36564427614212036, 0.1055162101984024], [0.1531226634979248, 0.2242717444896698]]]",True,True,True,True,False
0,4.397349857676059,4.554858626350971,4.397349857676059,4.397349840429695,4.397349857676059,"[[[0.7536697387695312, 0.7464140057563782], [0.7798240780830383, 0.42243337631225586]]]","[[[0.5882444381713867, 0.9875673651695251], [0.42888861894607544, 0.2551836669445038]]]",True,True,True,True,False
0,4.996171662434812,5.254816950658877,4.996171662434812,4.996171642844282,4.996171662434812,"[[[0.8678895235061646, 0.03394754230976105], [0.8671683073043823, 0.7999466061592102]]]","[[[0.28105029463768005, 0.0836469903588295], [0.4780524969100952, 0.017640260979533195]]]",True,True,True,True,False
0,5.561563610350819,5.748945560245853,5.561563610350819,5.561563584696104,5.561563610350819,"[[[0.1712074726819992, 0.5623378753662109], [0.21595528721809387, 0.36639928817749023]]]","[[[0.0029672489035874605, 0.027101119980216026], [0.36253324151039124, 0.6922573447227478]]]",True,True,True,True,False
0,6.092477615635053,6.675712230420319,6.092477615635053,6.092477585205971,6.092477615635053,"[[[0.6096813082695007, 0.7656698822975159], [0.07435021549463272, 0.25714001059532166]]]","[[[0.04126446321606636, 0.25824272632598877], [0.1117587611079216, 0.3484290540218353]]]",True,True,True,True,False
0,6.881027930263622,7.041069413910247,6.881027930263622,6.881027902165222,6.881027930263622,"[[[0.29015645384788513, 0.25500351190567017], [0.7033333778381348, 0.6580157279968262]]]","[[[0.3057475686073303, 0.821539580821991], [0.6765945553779602, 0.3715648353099823]]]",True,True,True,True,False
