,BSS,DySS,DSM,RSM,R1FI,R,C,DySS > BSS,DySS > DSM,DySS > RSM,DySS > R1FI,R1FI > DSM
0,0.6586885517007627,0.6586885517007627,0.6617576307657407,0.6649823617410733,0.694387710439461,"[[[0.4866819381713867, 0.66036456823349], [0.7519609928131104, 0.14396464824676514]], [[0.4866819381713867, 0.66036456823349], [0.7519609928131104, 0.14396464824676514]]]","[[[0.4617573320865631, 0.31910470128059387], [0.6955995559692383, 0.44136250019073486]], [[0.7682113647460938, 0.0874408632516861], [0.24804067611694336, 0.5172979831695557]]]",False,False,False,False,True
0,1.3540816205312374,1.4154389490573924,1.3712218607978104,1.3737160424305381,1.4474311746084718,"[[[0.9739972352981567, 0.25099480152130127], [0.16863301396369934, 0.11680708080530167]], [[0.9739972352981567, 0.25099480152130127], [0.16863301396369934, 0.11680708080530167]]]","[[[0.6644074320793152, 0.709850013256073], [0.47467491030693054, 0.12668263912200928]], [[0.5950913429260254, 0.09486176818609238], [0.09207869321107864, 0.9495136141777039]]]",True,True,True,False,True
0,1.9969776251849334,2.1444007323743457,2.03109142568812,2.0358186203274014,2.1268893995254547,"[[[0.6470603346824646, 0.7744044661521912], [0.8238257765769958, 0.9732372164726257]], [[0.6470603346824646, 0.7744044661521912], [0.8238257765769958, 0.9732372164726257]]]","[[[0.2056480050086975, 0.13631843030452728], [0.7186380624771118, 0.9019477367401123]], [[0.010262636467814445, 0.730893611907959], [0.48410293459892273, 0.1995425969362259]]]",True,True,True,True,True
0,2.6480274087209374,2.798712825867286,2.672064840301045,2.6775023700231917,2.73885384375528,"[[[0.8332030177116394, 0.07378755509853363], [0.6245684027671814, 0.6309794187545776]], [[0.8332030177116394, 0.07378755509853363], [0.6245684027671814, 0.6309794187545776]]]","[[[0.3942343592643738, 0.5598095655441284], [0.018093552440404892, 0.7052916884422302]], [[0.7868669629096985, 0.1698453724384308], [0.5772831439971924, 0.5437912344932556]]]",True,True,True,True,True
0,3.1153395857235116,3.402400656239229,3.161185968237007,3.161185919809979,3.2727277199428557,"[[[0.9470457434654236, 0.6022343039512634], [0.7189568877220154, 0.379136860370636]], [[0.9470457434654236, 0.6022343039512634], [0.7189568877220154, 0.379136860370636]]]","[[[0.010583300143480301, 0.4277178645133972], [0.8289355039596558, 0.21546216309070587]], [[0.19700714945793152, 0.5437723398208618], [0.25693365931510925, 0.19714316725730896]]]",True,True,True,True,True
0,4.095486920607468,4.398602008060216,4.167370772877165,4.175648287837702,4.266985645032708,"[[[0.45233824849128723, 0.7859324216842651], [0.44214993715286255, 0.862926721572876]], [[0.45233824849128723, 0.7859324216842651], [0.44214993715286255, 0.862926721572876]]]","[[[0.757448136806488, 0.8937260508537292], [0.6617481112480164, 0.02124100737273693]], [[0.22581425309181213, 0.5364354252815247], [0.522274911403656, 0.29396331310272217]]]",True,True,True,True,True
0,4.80506551720194,5.12457747869709,4.853804969136758,4.889321689467101,4.9870499400099035,"[[[0.7159303426742554, 0.5324621796607971], [0.322549968957901, 0.6741191148757935]], [[0.7159303426742554, 0.5324621796607971], [0.322549968957901, 0.6741191148757935]]]","[[[0.08841469138860703, 0.6802024245262146], [0.287584125995636, 0.8936324119567871]], [[0.2369944006204605, 0.7110292315483093], [0.7474955320358276, 0.34149399399757385]]]",True,True,True,True,True
0,5.445480010025188,5.880429192103236,5.491061730514018,5.491061645448678,5.609000451864208,"[[[0.3401528000831604, 0.9383721947669983], [0.8406534194946289, 0.00039381306851282716]], [[0.3401528000831604, 0.9383721947669983], [0.8406534194946289, 0.00039381306851282716]]]","[[[0.9109598994255066, 0.19632232189178467], [0.5769236087799072, 0.17495250701904297]], [[0.2641892731189728, 0.028859775513410568], [0.9154512882232666, 0.7108875513076782]]]",True,True,True,True,True
0,5.727170111587786,6.325162065616691,5.810187652398813,5.810187578136415,6.053501598582598,"[[[0.8803812861442566, 0.7034789323806763], [0.6074082851409912, 0.37795448303222656]], [[0.8803812861442566, 0.7034789323806763], [0.6074082851409912, 0.37795448303222656]]]","[[[0.8376652002334595, 0.0035792349372059107], [0.8805022835731506, 0.2613091766834259]], [[0.21578073501586914, 0.6195653080940247], [0.4487404525279999, 0.4537252187728882]]]",True,True,True,True,True
0,6.941047233165063,7.48379976296692,6.96917959681615,6.991943217456622,7.287509444564537,"[[[0.053313177078962326, 0.7980595231056213], [0.8577787280082703, 0.23907190561294556]], [[0.053313177078962326, 0.7980595231056213], [0.8577787280082703, 0.23907190561294556]]]","[[[0.11278067529201508, 0.6443355679512024], [0.2949509024620056, 0.3076704740524292]], [[0.945523202419281, 0.2280639261007309], [0.7840267419815063, 0.9057771563529968]]]",True,True,True,True,True
