,BSS,DySS,DSM,RSM,R1FI,R,C,DySS > BSS,DySS > DSM,DySS > RSM,DySS > R1FI,R1FI > DSM,DySS EQ,Perfect EQ
0,0.0,0.0,4.0,4.0,4.0,"[[[-5.0, -4.0], [2.0, 6.0]]]","[[[5.0, 4.0], [-2.0, -6.0]]]",False,False,False,False,False,[0.0],"[[('x_0', 0.0), ('x_1', 1.0)]]"
0,0.0,0.0,2.2857142857142856,2.28571427581032,2.2857142857142856,"[[[0.0, 4.0], [2.0, -1.0]]]","[[[0.0, -4.0], [-2.0, 1.0]]]",False,False,False,False,False,[0.0],"[[('x_0', 0.42857142857142855), ('x_1', 0.5714285714285714)]]"
0,0.0,0.0,0.0,-0.0,0.0,"[[[0.0, 6.0], [-4.0, 4.0]]]","[[[0.0, -6.0], [4.0, -4.0]]]",False,False,False,False,False,[0.0],[None]
0,0.0,0.0,4.0,4.0,4.0,"[[[8.0, 2.0], [-6.0, -1.0]]]","[[[-8.0, -2.0], [6.0, 1.0]]]",False,False,False,False,False,[0.0],"[[('x_0', 1.0), ('x_1', 0.0)]]"
0,0.0,0.0,0.0,-5.000000009899607,0.0,"[[[-2.0, -4.0], [-3.0, -1.0]]]","[[[2.0, 4.0], [3.0, 1.0]]]",False,False,True,False,False,[0.0],[None]
0,0.0,0.0,0.0,-6.0,0.0,"[[[-3.0, 8.0], [-7.0, -7.0]]]","[[[3.0, -8.0], [7.0, 7.0]]]",False,False,True,False,False,[0.0],[None]
0,0.0,0.0,0.0,-14.0,0.0,"[[[-7.0, -6.0], [-7.0, -5.0]]]","[[[7.0, 6.0], [7.0, 5.0]]]",False,False,True,False,False,[0.0],[None]
0,0.0,0.0,14.0,13.999999413067364,14.0,"[[[-1.0, 5.0], [7.0, 7.0]]]","[[[1.0, -5.0], [-7.0, -7.0]]]",False,False,False,False,False,[0.0],"[[('x_0', 0.0), ('x_1', 1.0)]]"
0,0.0,0.0,8.0,8.0,8.0,"[[[2.0, 5.0], [4.0, 4.0]]]","[[[-2.0, -5.0], [-4.0, -4.0]]]",False,False,False,False,False,[0.0],"[[('x_0', 0.0), ('x_1', 1.0)]]"
0,0.0,0.0,4.0,4.0,4.0,"[[[2.0, 3.0], [-7.0, 8.0]]]","[[[-2.0, -3.0], [7.0, -8.0]]]",False,False,False,False,False,[0.0],"[[('x_0', 1.0), ('x_1', 0.0)]]"
0,0.0,0.0,4.0,4.0,4.0,"[[[2.0, 4.0], [0.0, -6.0]]]","[[[-2.0, -4.0], [0.0, 6.0]]]",False,False,False,False,False,[0.0],"[[('x_0', 1.0), ('x_1', 0.0)]]"
0,0.0,0.0,0.0,-6.0000006602319065,0.0,"[[[5.0, -4.0], [2.0, -3.0]]]","[[[-5.0, 4.0], [-2.0, 3.0]]]",False,False,True,False,False,[0.0],[None]
0,0.0,0.0,4.0,4.0,4.0,"[[[-3.0, -5.0], [2.0, 5.0]]]","[[[3.0, 5.0], [-2.0, -5.0]]]",False,False,False,False,False,[0.0],"[[('x_0', 0.0), ('x_1', 1.0)]]"
0,0.0,0.0,2.0,2.0,2.0,"[[[2.0, -3.0], [6.0, 1.0]]]","[[[-2.0, 3.0], [-6.0, -1.0]]]",False,False,False,False,False,[0.0],"[[('x_0', 0.0), ('x_1', 1.0)]]"
0,0.0,0.0,0.0,-2.0000006602137037,0.0,"[[[-1.0, 6.0], [-3.0, 1.0]]]","[[[1.0, -6.0], [3.0, -1.0]]]",False,False,True,False,False,[0.0],[None]
0,0.0,0.0,0.0,-10.000000660188123,0.0,"[[[-7.0, -6.0], [-5.0, 0.0]]]","[[[7.0, 6.0], [5.0, 0.0]]]",False,False,True,False,False,[0.0],[None]
0,0.0,0.0,0.0,-5.999998547263971,0.0,"[[[7.0, -3.0], [-2.0, -3.0]]]","[[[-7.0, 3.0], [2.0, 3.0]]]",False,False,True,False,False,[0.0],[None]
0,0.0,0.0,4.0,3.9999999834470206,4.0,"[[[7.0, 2.0], [-1.0, 1.0]]]","[[[-7.0, -2.0], [1.0, -1.0]]]",False,False,False,False,False,[0.0],"[[('x_0', 1.0), ('x_1', 0.0)]]"
0,0.0,0.0,8.0,7.999999983489951,8.0,"[[[3.0, -7.0], [4.0, 7.0]]]","[[[-3.0, 7.0], [-4.0, -7.0]]]",False,False,False,False,False,[0.0],"[[('x_0', 0.0), ('x_1', 1.0)]]"
0,0.0,0.0,10.0,10.0,10.0,"[[[0.0, -2.0], [5.0, 8.0]]]","[[[0.0, 2.0], [-5.0, -8.0]]]",False,False,False,False,False,[0.0],"[[('x_0', 0.0), ('x_1', 1.0)]]"
0,0.0,0.0,6.0,6.0,6.0,"[[[8.0, -5.0], [8.0, 3.0]]]","[[[-8.0, 5.0], [-8.0, -3.0]]]",False,False,False,False,False,[0.0],"[[('x_0', 0.0), ('x_1', 1.0)]]"
0,0.0,0.0,2.0,2.0,2.0,"[[[1.0, 3.0], [-7.0, 0.0]]]","[[[-1.0, -3.0], [7.0, 0.0]]]",False,False,False,False,False,[0.0],"[[('x_0', 1.0), ('x_1', 0.0)]]"
0,0.0,0.0,0.0,-2.0,0.0,"[[[-3.0, -3.0], [2.0, -1.0]]]","[[[3.0, 3.0], [-2.0, 1.0]]]",False,False,True,False,False,[0.0],[None]
0,0.0,0.0,0.0,-4.000000009396673,0.0,"[[[0.0, -6.0], [2.0, -2.0]]]","[[[0.0, 6.0], [-2.0, 2.0]]]",False,False,True,False,False,[0.0],[None]
0,0.0,0.0,4.0,4.0,4.0,"[[[2.0, 6.0], [-1.0, 8.0]]]","[[[-2.0, -6.0], [1.0, -8.0]]]",False,False,False,False,False,[0.0],"[[('x_0', 1.0), ('x_1', 0.0)]]"
0,0.0,0.0,6.0,6.0,6.0,"[[[-3.0, -3.0], [3.0, 8.0]]]","[[[3.0, 3.0], [-3.0, -8.0]]]",False,False,False,False,False,[0.0],"[[('x_0', 0.0), ('x_1', 1.0)]]"
0,0.0,0.0,7.333333333333333,7.333333333333334,7.333333333333333,"[[[3.0, 7.0], [5.0, -3.0]]]","[[[-3.0, -7.0], [-5.0, 3.0]]]",False,False,False,False,False,[0.0],"[[('x_0', 0.6666666666666666), ('x_1', 0.3333333333333333)]]"
0,0.0,0.0,4.444444444444445,4.4444444397660465,4.444444444444445,"[[[5.0, 0.0], [-5.0, 8.0]]]","[[[-5.0, 0.0], [5.0, -8.0]]]",False,False,False,False,False,[0.0],"[[('x_0', 0.7222222222222222), ('x_1', 0.2777777777777778)]]"
0,0.0,0.0,0.0,-6.000000009236631,0.0,"[[[-2.0, -3.0], [-5.0, -7.0]]]","[[[2.0, 3.0], [5.0, 7.0]]]",False,False,True,False,False,[0.0],[None]
0,0.0,0.0,16.0,16.0,16.0,"[[[-6.0, 3.0], [8.0, 8.0]]]","[[[6.0, -3.0], [-8.0, -8.0]]]",False,False,False,False,False,[0.0],"[[('x_0', 0.0), ('x_1', 1.0)]]"
0,0.0,0.0,0.36363636363636376,0.36363635932402105,0.36363636363636376,"[[[4.0, -2.0], [-3.0, 2.0]]]","[[[-4.0, 2.0], [3.0, -2.0]]]",False,False,False,False,False,[0.0],"[[('x_0', 0.45454545454545453), ('x_1', 0.5454545454545454)]]"
0,0.0,0.0,0.0,-6.000000660150577,0.0,"[[[-3.0, -1.0], [-4.0, -3.0]]]","[[[3.0, 1.0], [4.0, 3.0]]]",False,False,True,False,False,[0.0],[None]
0,0.0,0.0,0.0,-6.28571429561748,0.0,"[[[-3.0, -5.0], [-4.0, 8.0]]]","[[[3.0, 5.0], [4.0, -8.0]]]",False,False,True,False,False,[0.0],[None]
0,0.0,0.0,0.0,-2.0000006603491087,0.0,"[[[-1.0, 3.0], [-5.0, 0.0]]]","[[[1.0, -3.0], [5.0, 0.0]]]",False,False,True,False,False,[0.0],[None]
0,0.0,0.0,0.0,-7.60000000990734,0.0,"[[[-3.0, -6.0], [-7.0, 5.0]]]","[[[3.0, 6.0], [7.0, -5.0]]]",False,False,True,False,False,[0.0],[None]
0,0.0,0.0,0.0,-6.000000016517572,0.0,"[[[3.0, -3.0], [-7.0, -6.0]]]","[[[-3.0, 3.0], [7.0, 6.0]]]",False,False,True,False,False,[0.0],[None]
